"","Survey","AGB","ForestType"
"1",1,199.2437978,1
"2",1,231.9265811,1
"3",1,225.2371599,1
"4",1,315.6120059,1
"5",1,333.7648798,1
"6",1,341.8982387,1
"7",1,421.8504336,1
"8",1,335.3216879,1
"9",1,366.9917265,1
"10",1,239.4084258,1
"11",1,362.9106076,2
"12",1,315.485474,2
"13",1,372.0695279,2
"14",1,374.4260371,2
"15",1,431.2191857,2
"16",1,405.0425384,2
"17",1,327.882957,2
"18",1,288.1109834,2
"19",1,360.476522,2
"20",1,342.307777,2
"21",1,486.7038091,3
"22",1,595.4953295,3
"23",1,511.055412,3
"24",1,405.9152648,3
"25",1,374.2234453,3
"26",1,358.9425378,3
"27",1,453.0736987,3
"28",1,542.547378,3
"29",1,363.6857915,3
"30",1,463.6534533,3
