kid.score,mom.hs,mom.iq,mom.work,mom.age
65,1,121.11753,4,27
98,1,89.36188,4,25
85,1,115.44316,4,27
83,1,99.44964,3,25
115,1,92.74571,4,27
98,0,107.90184,1,18
69,1,138.89311,4,20
106,1,125.14512,3,23
102,1,81.61953,1,24
95,1,95.07307,1,19
91,1,88.577,1,23
58,1,94.85971,4,24
84,1,88.9628,4,27
78,1,114.1143,4,26
102,0,100.53407,2,24
110,1,120.41915,1,26
102,1,114.42688,3,23
99,1,111.59236,3,26
105,1,133.84923,4,20
101,0,97.2648,3,17
102,1,110.09681,4,21
115,1,126.72399,2,26
100,1,97.91159,2,20
87,1,99.92573,4,23
99,0,97.59501,4,19
96,1,121.74801,4,27
72,1,98.74808,3,21
78,1,97.91525,4,22
77,1,80.35856,2,24
98,1,114.30786,2,22
69,1,109.13832,1,27
130,1,101.81718,2,23
109,1,117.9651,3,27
106,0,108.6335,2,22
92,1,96.52862,3,27
100,1,92.87138,4,22
107,1,95.89813,4,27
86,1,107.01546,4,25
90,1,87.19701,1,22
110,1,89.36188,4,25
107,1,102.53099,2,21
113,1,130.16686,3,24
65,1,83.4141,3,22
102,1,125.75347,1,24
103,0,85.81038,4,27
111,1,126.52007,4,28
42,1,79.20305,4,21
100,1,113.16591,1,23
67,1,110.33139,1,26
92,1,99.40922,4,28
100,1,102.42553,2,24
110,1,124.90044,3,27
56,1,94.85971,4,24
107,1,92.36856,3,29
97,1,101.81718,1,23
56,0,79.83353,1,21
95,1,96.22614,2,21
78,0,82.35547,4,21
76,0,76.57565,1,24
86,1,110.01348,1,23
79,1,111.59236,4,26
81,1,113.65741,4,17
79,0,101.16456,4,24
79,1,101.34109,4,25
56,1,101.69816,2,22
52,1,98.81915,2,25
63,1,93.4982,2,20
80,1,87.29389,4,24
87,1,87.31603,4,23
88,1,86.20946,2,25
92,1,89.83797,4,23
100,0,121.87001,1,20
94,0,127.54438,4,20
117,1,109.99134,4,24
102,1,90.44631,4,24
107,1,88.8949,4,26
99,1,113.04689,4,22
73,0,78.01315,4,25
56,1,95.38965,1,20
78,0,83.61644,2,21
94,0,86.24628,2,19
110,1,95.38965,4,20
109,1,111.25231,4,24
86,1,127.01444,1,24
92,1,89.95195,2,28
91,1,99.2731,2,24
123,1,81.16558,1,25
102,1,110.52129,3,20
105,1,136.49385,4,23
114,1,123.86201,1,24
96,1,134.60239,1,23
66,1,91.09894,3,23
104,1,103.26937,2,19
108,1,126.28707,3,22
84,1,127.54438,4,20
83,0,92.47389,4,28
83,1,84.79409,4,23
92,0,100.53407,2,24
109,0,108.00301,4,22
95,0,78.80714,1,26
93,1,121.11753,4,27
114,1,103.05601,2,24
106,1,100.43719,2,22
87,1,88.55486,2,24
65,1,85.30556,4,22
95,1,119.44862,3,24
61,1,90.55178,2,21
73,1,96.33404,4,19
112,1,127.64492,4,24
113,1,119.85656,4,27
49,0,112.01892,1,28
105,1,92.51431,4,25
122,1,96.0238,4,22
96,1,91.41684,4,26
97,1,103.07815,2,23
94,1,100.24363,3,26
117,1,89.81583,4,24
136,1,115.05736,4,23
85,0,96.65062,4,20
116,1,105.57795,4,24
106,1,97.72169,4,26
99,1,131.83577,4,27
94,1,101.81718,1,23
89,1,93.4982,4,20
119,1,104.02654,4,26
112,1,103.70863,4,23
104,0,107.36886,2,20
92,1,92.55113,2,19
86,1,94.44258,2,19
69,1,93.14479,4,25
45,1,83.4141,4,22
57,1,71.03741,2,28
94,1,127.66706,1,23
104,1,115.68785,4,23
89,0,90.97626,1,20
144,1,132.86534,3,25
52,1,72.5023,1,26
102,1,100.71061,4,25
106,1,132.6888,3,24
98,1,98.54574,2,22
97,1,115.66571,3,24
94,1,117.0628,3,28
111,1,136.49385,3,23
100,1,106.54848,2,26
105,1,134.12631,2,25
90,1,104.65702,4,26
98,1,99.37856,2,21
121,1,100.43719,1,22
106,1,89.52539,4,26
121,1,120.92295,4,19
102,1,113.14377,4,24
64,1,126.41475,1,29
99,1,122.73716,4,28
81,1,115.37527,4,26
69,1,91.60674,2,20
84,1,88.66032,2,21
104,1,107.17896,3,26
104,1,104.9696,4,23
107,1,103.86303,4,25
88,1,110.09681,4,21
67,0,88.45432,1,20
103,0,117.03214,1,21
94,1,125.65659,4,22
109,1,122.60104,4,24
94,1,121.04963,3,26
98,1,93.14479,3,25
102,1,99.37856,3,21
104,1,123.89281,4,29
114,0,113.04323,2,20
87,1,115.77117,3,21
102,1,114.93835,4,22
77,1,93.62088,4,23
109,1,121.74801,1,27
94,1,90.34944,4,22
93,0,83.41044,2,20
86,1,99.48646,4,19
97,1,113.91038,4,28
97,1,97.59501,4,19
88,1,89.81583,4,24
103,1,119.58474,4,28
87,0,97.38165,2,24
87,1,84.87741,4,21
90,1,102.32865,4,22
65,1,99.2731,4,24
111,0,99.07505,4,18
109,1,96.9277,3,25
87,1,108.31325,2,19
58,1,100.53407,4,24
87,1,99.48646,4,19
113,1,113.98761,3,19
64,0,92.7702,4,18
78,0,88.02984,4,21
97,0,106.11156,4,22
95,0,103.23255,3,25
75,1,99.29524,4,23
91,0,106.74204,3,22
99,1,99.17256,2,20
108,1,102.44766,1,23
95,1,92.86771,4,20
100,1,116.82614,4,20
85,1,85.42457,1,23
97,0,115.56517,2,20
108,1,113.17456,4,29
90,1,106.86106,1,23
100,1,95.83024,3,26
82,0,77.10925,1,22
94,1,89.29081,2,21
95,1,112.41274,4,20
119,1,110.64397,1,23
98,1,109.5374,1,25
100,0,107.90184,1,18
112,1,104.9696,2,23
136,0,107.68277,2,19
122,1,109.46632,2,21
126,1,133.53264,1,19
116,1,128.80901,2,22
98,1,101.27002,4,21
94,1,87.31603,4,23
93,1,118.09077,4,22
90,1,120.25564,2,25
70,1,90.34577,4,20
110,1,79.90461,4,25
104,1,136.57717,4,21
83,1,102.42553,2,24
99,1,132.6888,4,24
81,1,96.29722,3,25
104,1,118.20979,4,23
109,1,118.09077,4,22
113,1,101.5046,2,26
95,0,94.33468,2,21
74,1,84.67141,1,20
81,1,86.76887,2,21
89,1,129.24593,4,26
93,1,127.78104,4,28
102,1,106.86106,2,23
95,1,105.75449,1,25
85,1,117.03214,4,21
97,1,119.35174,2,22
92,1,102.76557,1,26
78,0,108.20535,3,21
104,1,126.41475,4,29
120,1,101.9005,2,21
83,0,99.15626,2,17
105,1,91.81275,1,21
68,1,84.14147,4,24
104,1,84.35483,4,19
80,1,79.11972,2,23
120,1,91.41684,4,26
94,1,90.44631,2,24
81,1,79.00071,4,22
101,1,109.26398,4,22
61,1,76.75218,4,25
68,1,97.59501,4,19
110,1,128.80901,4,22
89,0,113.65741,1,17
98,0,114.20669,2,18
113,1,112.51328,4,24
50,0,75.33682,1,23
57,0,81.52265,2,22
86,1,102.63889,4,19
83,1,101.18669,1,23
106,1,112.22284,4,26
106,0,123.40806,3,25
104,1,86.56653,3,22
78,1,100.11695,2,19
99,1,102.32865,3,22
91,1,87.94651,1,23
40,0,80.25801,1,20
42,0,80.25801,1,20
69,1,91.0768,4,24
84,1,85.57897,4,25
58,1,113.16591,4,23
42,1,112.05934,2,25
72,1,101.27002,3,21
80,0,81.83289,1,19
58,0,81.0945,3,21
52,1,81.32908,4,26
101,1,120.60905,3,20
63,1,102.44766,4,23
73,1,90.97626,2,20
68,1,103.70863,4,23
60,1,102.32865,4,22
69,1,121.87001,4,20
73,0,88.66032,1,21
75,0,90.02919,1,19
20,0,83.53312,2,23
56,1,91.92064,2,19
49,1,87.19335,1,20
71,0,80.46402,4,21
46,0,84.318,1,25
54,0,77.73974,3,22
54,0,82.27215,1,23
44,1,77.38267,4,25
74,1,89.71529,3,20
58,0,79.90461,2,25
46,1,82.15313,4,22
76,0,80.26168,2,22
43,0,77.38267,4,25
60,0,82.78362,4,22
58,1,89.20748,4,23
89,1,89.08847,4,22
43,0,88.98729,2,18
94,1,118.92359,1,21
88,1,83.85102,4,26
79,1,84.04459,4,22
87,1,105.05293,4,21
46,1,107.99935,4,20
95,1,97.38165,4,24
92,1,103.79196,4,21
42,0,97.59501,4,19
62,1,88.66032,2,21
52,1,107.24686,2,27
101,1,89.83797,2,23
